OBJECTID;CODE_VOIE;NOM_VOIE;TYPE_AMENAGEMENT;REALISATION;CIRCUL2R;CIRCVOIT;AFFECTATION;TOURNGAUCHE;SHAPE.LEN
57981;24368;Quai  TURRETTINI;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;23.5042445853399
57986;24376;Rue de l' Université;Bande;1988;unidirectionnelle;contresens;vélos + cyclomoteurs;;43.0492555104034
57987;24376;Rue de l' Université;Piste;1989;unidirectionnelle;contresens;vélos + cyclomoteurs;;13.6145351023273
57989;24430;Rue du Valais;Bande;1995;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;18.5365072222358
57993;24430;Rue du Valais;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;51.708399754393
57994;24430;Rue du Valais;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;133.777220719068
57995;24430;Rue du Valais;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;7.8328794194727696
57996;24430;Rue du Valais;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;46.1900638665936
57997;24430;Rue du Valais;Piste;1995;unidirectionnelle;contresens;vélos + cyclomoteurs;;252.18748881765302
57999;24430;Rue du Valais;Sas;2009;unidirectionnelle; ;vélos + cyclomoteurs;OUI;4.86786400796078
58000;24520;Avenue Gaspard- VALLETTE;Bande;1995;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;12.01915554438
58004;24538;Rue  VALLIN;Contresens;2013;unidirectionnelle;contresens;vélos + cyclomoteurs;;47.629511859770304
58005;24546;Route du Vallon;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;254.86036283134402
58007;24546;Route du Vallon;Bande;1996;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;249.24478594176503
58011;24570;Route de Vandoeuvres;Bande;1997;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;89.27956319619139
58012;22888;Rue de Sous-Terre;Piste;1987;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;10.7243647830536
58013;22888;Rue de Sous-Terre;Piste;1987;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;7.292475574179179
58014;22888;Rue de Sous-Terre;Piste;1987;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;5.73624441599205
58015;22888;Rue de Sous-Terre;Piste;1987;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;6.77569922591019
58016;22888;Rue de Sous-Terre;Piste;1987;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;2.8182263926093696
