COMMUNE;NOM_ECOLE;STATUT;LIEN_WWW;NB_EL_DERNIER_RELEVE;NB_1P_DERNIER_RELEVE;NB_2P_DERNIER_RELEVE;NB_3P_DERNIER_RELEVE;NB_4P_DERNIER_RELEVE;NB_5P_DERNIER_RELEVE;NB_6P_DERNIER_RELEVE;NB_7P_DERNIER_RELEVE;NB_8P_DERNIER_RELEVE;NB_CL_DERNIER_RELEVE;NB_EL_2018;NB_CL_2018;NB_EL_2017;NB_CL_2017;NB_EL_2016;NB_CL_2016;NB_EL_2015;NB_CL_2015;NB_EL_2014;NB_CL_2014;NB_EL_2013;NB_CL_2013;NB_EL_2012;NB_CL_2012;SHAPE.AREA;SHAPE.LEN
Bernex;Luchepelet;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bernex-Luchepelet.JPG;253.0;24.0;42.0;30.0;32.0;33.0;38.0;29.0;25.0;12.0;251.0;12.0;242.0;11.0;234.0;11.0;239.0;11.0;237.0;11.0;251.0;12.0;247.0;12.0;2750.8110495;441.5409938674
Bernex;Robert Hainard;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Bernex-Vailly.JPG;243.0;21.0;31.0;34.0;25.0;33.0;35.0;33.0;31.0;11.0;242.0;11.0;223.0;10.0;207.0;10.0;214.0;10.0;214.0;10.0;189.0;9.0;190.0;9.0;4352.68125;575.543063557781
Cartigny;Cartigny;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cartigny.JPG;84.0;13.0;5.0;7.0;15.0;14.0;9.0;10.0;11.0;4.0;76.0;4.0;80.0;4.0;85.0;4.0;77.0;4.0;74.0;4.0;77.0;4.0;76.0;4.0;1135.5278;222.77699150173802
Chêne-Bougeries;Conches;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Conches.JPG;161.0;14.0;20.0;21.0;21.0;24.0;20.0;22.0;19.0;8.0;161.0;7.0;147.0;7.0;135.0;6.0;118.0;6.0;123.0;6.0;123.0;6.0;135.0;6.0;597.66505;153.864990886199
Chêne-Bourg;Plateau-de-Haller;Fermé;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Plateau-de-Haller.JPG;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.0;5.0;105.0;5.0;120.0;6.0;349.79325;86.50750186459179
Chêne-Bourg;Petit-Senn;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Petit-Senn.JPG;276.0;21.0;19.0;20.0;18.0;44.0;48.0;51.0;55.0;14.0;280.0;13.0;260.0;13.0;272.0;13.0;290.0;13.0;273.0;13.0;281.0;13.0;276.0;13.0;2442.0630505;410.147929307313
Collonge-Bellerive;Vésenaz;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Vésenaz.JPG;324.0;45.0;43.0;48.0;33.0;42.0;40.0;33.0;40.0;15.0;317.0;14.0;300.0;14.0;299.0;14.0;306.0;14.0;292.0;14.0;282.0;13.0;275.0;13.0;2293.5639455;418.82417382277805
Collonge-Bellerive;Collonge CE+CM;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Collonge.JPG;266.0;27.0;44.0;28.0;38.0;35.0;33.0;27.0;34.0;13.0;280.0;13.0;264.0;12.0;249.0;11.0;271.0;12.0;258.0;12.0;263.0;12.0;257.0;12.0;3573.488903;625.2469687501809
Genève-Cité;Cropettes CE;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cropettes pavillon.JPG;144.0;32.0;38.0;38.0;36.0;0.0;0.0;0.0;0.0;8.0;149.0;8.0;150.0;8.0;152.0;8.0;138.0;7.0;121.0;6.0;118.0;6.0;121.0;6.0;826.81715;241.627874145714
Genève-Petit-Saconnex;Devin-du-Village;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Devin-du-Village.JPG;170.0;48.0;48.0;39.0;35.0;0.0;0.0;0.0;0.0;9.0;169.0;8.0;153.0;8.0;159.0;8.0;160.0;8.0;152.0;7.0;150.0;8.0;182.0;9.0;1314.735325;245.36126960611404
